Read input files
Log likelihood: -68.1884
Log likelihood: -64.9578
Log likelihood: -71.63
Log likelihood: -69.9037
Log likelihood: -65.371
Log likelihood: -64.2954
Log likelihood: -71.258
Log likelihood: -67.569
Log likelihood: -73.9489
Log likelihood: -69.5511
Log likelihood: -65.684
Log likelihood: -71.9322
Log likelihood: -76.1896
Log likelihood: -64.2954
Log likelihood: -71.258
Log likelihood: -61.5395
Log likelihood: -70.5034
Log likelihood: -71.6009
Log likelihood: -65.9632
Log likelihood: -63.666
Log likelihood: -68.4844
Log likelihood: -68.8615
Log likelihood: -65.9732
Log likelihood: -63.3531
Log likelihood: -63.8927
Log likelihood: -64.079
Log likelihood: -63.8927
Log likelihood: -67.1124
Log likelihood: -61.1513
Log likelihood: -65.4229
Log likelihood: -68.3077
Log likelihood: -64.5907
Log likelihood: -67.569
Log likelihood: -65.523
Log likelihood: -68.2893
Log likelihood: -70.4732
Log likelihood: -74.2827
Log likelihood: -64.372
Log likelihood: -65.8204
Log likelihood: -70.401
Log likelihood: -71.258
Log likelihood: -64.9394
Log likelihood: -69.2982
Log likelihood: -65.523
Log likelihood: -73.1366
Log likelihood: -70.401
Log likelihood: -70.5034
Log likelihood: -64.9167
Log likelihood: -64.6449
Log likelihood: -61.4611
Log likelihood: -63.8002
Log likelihood: -63.8927
Log likelihood: -74.6226
Log likelihood: -67.6995
Log likelihood: -65.1332
Log likelihood: -66.9765
Log likelihood: -64.937
Log likelihood: -62.2098
Log likelihood: -66.3244
Log likelihood: -64.4781
Log likelihood: -66.3878
Log likelihood: -69.0371
Log likelihood: -66.4382
Log likelihood: -63.0035
Log likelihood: -61.5395
Log likelihood: -71.5035
Log likelihood: -63.8974
Log likelihood: -67.4961
Log likelihood: -65.9632
Log likelihood: -63.8927
Log likelihood: -76.0081
Log likelihood: -71.5035
Log likelihood: -67.9728
Log likelihood: -63.8927
Log likelihood: -68.4429
Log likelihood: -63.8927
Log likelihood: -63.6346
Log likelihood: -68.847
Log likelihood: -63.5387
Log likelihood: -69.2067
Log likelihood: -63.4711
Log likelihood: -71.4723
Log likelihood: -73.1366
Log likelihood: -65.9632
Log likelihood: -68.292
Log likelihood: -67.9073
Log likelihood: -66.3225
Log likelihood: -70.6025
Log likelihood: -65.0089
Log likelihood: -70.4732
Log likelihood: -69.7909
Log likelihood: -67.0431
Log likelihood: -64.8241
Log likelihood: -66.1244
Log likelihood: -64.1754
Log likelihood: -67.569
Log likelihood: -67.844
Log likelihood: -70.4457
Log likelihood: -67.569
Log likelihood: -60.7091
Completed simulation 100
Log likelihood: -68.292
Log likelihood: -66.1244
Log likelihood: -65.523
Log likelihood: -67.1124
Log likelihood: -63.9856
Log likelihood: -66.7916
Log likelihood: -63.5144
Log likelihood: -74.6226
Log likelihood: -69.5044
Log likelihood: -69.2674
Log likelihood: -65.7013
Log likelihood: -71.63
Log likelihood: -67.1124
Log likelihood: -63.8248
Log likelihood: -66.8367
Log likelihood: -68.9549
Log likelihood: -71.9322
Log likelihood: -64.455
Log likelihood: -69.2764
Log likelihood: -67.1288
Log likelihood: -71.5035
Log likelihood: -66.9858
Log likelihood: -67.2003
Log likelihood: -67.9799
Log likelihood: -69.5032
Log likelihood: -64.2248
Log likelihood: -66.6957
Log likelihood: -68.9007
Log likelihood: -69.7141
Log likelihood: -67.9799
Log likelihood: -68.9549
Log likelihood: -63.4711
Log likelihood: -65.8204
Log likelihood: -63.6346
Log likelihood: -70.4732
Log likelihood: -70.4732
Log likelihood: -65.523
Log likelihood: -63.5387
Log likelihood: -74.0984
Log likelihood: -66.2077
Log likelihood: -71.258
Log likelihood: -63.3533
Log likelihood: -63.7027
Log likelihood: -63.4341
Log likelihood: -74.2827
Log likelihood: -65.9467
Log likelihood: -70.1205
Log likelihood: -71.9549
Log likelihood: -62.8456
Log likelihood: -64.9935
Log likelihood: -63.0035
Log likelihood: -63.9339
Log likelihood: -70.5444
Log likelihood: -63.4711
Log likelihood: -64.6795
Log likelihood: -63.9856
Log likelihood: -67.1124
Log likelihood: -65.5583
Log likelihood: -63.343
Log likelihood: -63.9252
Log likelihood: -68.8615
Log likelihood: -64.7978
Log likelihood: -65.523
Log likelihood: -63.8927
Log likelihood: -72.7801
Log likelihood: -63.8927
Log likelihood: -63.2775
Log likelihood: -70.401
Log likelihood: -61.8999
